make,model,year,vehicle_class,class_simple,engine_displacement_l,cylinders,displacement_per_cyl,fuel_type,fuel_simple,fuel_enc,city_mpg,highway_mpg,combined_mpg,hwy_city_ratio,co2_grams_per_mile,co2_per_mpg,cd,aero_efficiency,year_rel
Mitsubishi,Lancer Sportback,2010,Small Station Wagons,Wagon,2.4,4.0,0.6,Regular,regular,3,20,27,22,1.35,,,,,0
Mitsubishi,Lancer Sportback,2010,Small Station Wagons,Wagon,2.4,4.0,0.6,Regular,regular,3,21,27,23,1.2857142857142858,,,,,0
Subaru,Impreza Wagon/Outback Sport,2010,Small Station Wagons,Wagon,2.5,4.0,0.625,Premium,premium,2,19,24,21,1.263157894736842,,,,,0
Subaru,Impreza Wagon/Outback Sport,2010,Small Station Wagons,Wagon,2.5,4.0,0.625,Premium,premium,2,18,25,21,1.3888888888888888,,,,,0
Subaru,Impreza Wagon/Outback Sport,2010,Small Station Wagons,Wagon,2.5,4.0,0.625,Premium,premium,2,17,23,19,1.3529411764705883,,,,,0
Subaru,Impreza Wagon/Outback Sport,2010,Small Station Wagons,Wagon,2.5,4.0,0.625,Regular,regular,3,20,27,22,1.35,,,,,0
Subaru,Impreza Wagon/Outback Sport,2010,Small Station Wagons,Wagon,2.5,4.0,0.625,Regular,regular,3,20,26,22,1.3,,,,,0
Suzuki,SX4,2010,Small Station Wagons,Wagon,2.0,4.0,0.5,Regular,regular,3,22,30,25,1.3636363636363635,,,,,0
Suzuki,SX4,2010,Small Station Wagons,Wagon,2.0,4.0,0.5,Regular,regular,3,23,30,26,1.3043478260869565,,,,,0
Suzuki,SX4 AWD,2010,Small Station Wagons,Wagon,2.0,4.0,0.5,Regular,regular,3,22,30,25,1.3636363636363635,,,,,0
Suzuki,SX4 AWD,2010,Small Station Wagons,Wagon,2.0,4.0,0.5,Regular,regular,3,23,29,25,1.2608695652173914,,,,,0
Volkswagen,Jetta SportWagen,2010,Small Station Wagons,Wagon,2.5,5.0,0.5,Regular,regular,3,22,30,25,1.3636363636363635,,,,,0
Volkswagen,Jetta SportWagen,2010,Small Station Wagons,Wagon,2.5,5.0,0.5,Regular,regular,3,23,30,25,1.3043478260869565,,,,,0
Volvo,V50 AWD,2010,Small Station Wagons,Wagon,2.5,5.0,0.5,Regular,regular,3,19,27,22,1.4210526315789473,,,,,0
Volvo,V50 FWD,2010,Small Station Wagons,Wagon,2.4,5.0,0.48,Regular,regular,3,20,31,24,1.55,,,,,0
Audi,A6 Avant quattro,2010,Midsize Station Wagons,Midsize,3.0,6.0,0.5,Premium,premium,2,18,26,21,1.4444444444444444,,,,,0
Kia,Rondo,2010,Midsize Station Wagons,Midsize,2.4,4.0,0.6,Regular,regular,3,20,27,22,1.35,,,,,0
Kia,Rondo,2010,Midsize Station Wagons,Midsize,2.7,6.0,0.45,Regular,regular,3,18,26,21,1.4444444444444444,,,,,0
Volkswagen,Passat Wagon,2010,Midsize Station Wagons,Midsize,2.0,4.0,0.5,Premium,premium,2,22,31,25,1.4090909090909092,,,,,0
Volvo,V70 FWD,2010,Midsize Station Wagons,Midsize,3.2,6.0,0.5333333333333333,Regular,regular,3,18,27,21,1.5,,,,,0
Volvo,XC60 FWD,2010,Sport Utility Vehicle - 2WD,Other,3.2,6.0,0.5333333333333333,Regular,regular,3,18,27,21,1.5,,,,,0
Chevrolet,Silverado C15 2WD,2010,Standard Pickup Trucks 2WD,Pickup,4.3,6.0,0.7166666666666667,Regular,regular,3,15,20,17,1.3333333333333333,,,,,0
Dodge,Ram 1500 Pickup 2WD,2010,Standard Pickup Trucks 2WD,Pickup,5.7,8.0,0.7125,Regular,regular,3,14,20,16,1.4285714285714286,,,,,0
Ford,Explorer Sport Trac 2WD,2010,Standard Pickup Trucks 2WD,Pickup,4.6,8.0,0.575,Regular,regular,3,15,21,17,1.4,,,,,0
Ford,Explorer Sport Trac 2WD,2010,Standard Pickup Trucks 2WD,Pickup,4.0,6.0,0.6666666666666666,Regular,regular,3,14,20,16,1.4285714285714286,,,,,0
Ford,F150 Pickup 2WD,2010,Standard Pickup Trucks 2WD,Pickup,4.6,8.0,0.575,Regular,regular,3,15,21,17,1.4,,,,,0
Ford,F150 Pickup 2WD,2010,Standard Pickup Trucks 2WD,Pickup,4.6,8.0,0.575,Regular,regular,3,15,19,16,1.2666666666666666,,,,,0
Gmc,Sierra C15 2WD,2010,Standard Pickup Trucks 2WD,Pickup,4.3,6.0,0.7166666666666667,Regular,regular,3,15,20,17,1.3333333333333333,,,,,0
Chevrolet,Silverado K15 4WD,2010,Standard Pickup Trucks 4WD,Pickup,4.3,6.0,0.7166666666666667,Regular,regular,3,14,18,15,1.2857142857142858,,,,,0
Dodge,Ram 1500 Pickup 4WD,2010,Standard Pickup Trucks 4WD,Pickup,5.7,8.0,0.7125,Regular,regular,3,13,18,15,1.3846153846153846,,,,,0
Ford,Explorer Sport Trac 4WD,2010,Standard Pickup Trucks 4WD,Pickup,4.6,8.0,0.575,Regular,regular,3,14,19,16,1.3571428571428572,,,,,0
Ford,Explorer Sport Trac 4WD,2010,Standard Pickup Trucks 4WD,Pickup,4.0,6.0,0.6666666666666666,Regular,regular,3,13,19,15,1.4615384615384615,,,,,0
Ford,F150 Pickup 4WD,2010,Standard Pickup Trucks 4WD,Pickup,4.6,8.0,0.575,Regular,regular,3,14,18,16,1.2857142857142858,,,,,0
Ford,F150 Pickup 4WD,2010,Standard Pickup Trucks 4WD,Pickup,4.6,8.0,0.575,Regular,regular,3,14,20,16,1.4285714285714286,,,,,0
Gmc,Sierra K15 4WD,2010,Standard Pickup Trucks 4WD,Pickup,4.3,6.0,0.7166666666666667,Regular,regular,3,14,18,15,1.2857142857142858,,,,,0
Chevrolet,Express 1500 2WD Cargo,2010,"Vans, Cargo Type",Van,4.3,6.0,0.7166666666666667,Regular,regular,3,15,20,17,1.3333333333333333,,,,,0
Gmc,Savana 1500 2WD (cargo),2010,"Vans, Cargo Type",Van,4.3,6.0,0.7166666666666667,Regular,regular,3,15,20,17,1.3333333333333333,,,,,0
Chrysler,Town and Country,2010,Minivan - 2WD,Minivan,4.0,6.0,0.6666666666666666,Regular,regular,3,17,25,20,1.4705882352941178,,,,,0
Chrysler,Town and Country,2010,Minivan - 2WD,Minivan,3.8,6.0,0.6333333333333333,Regular,regular,3,16,23,18,1.4375,,,,,0
Dodge,Grand Caravan,2010,Minivan - 2WD,Minivan,4.0,6.0,0.6666666666666666,Regular,regular,3,17,25,20,1.4705882352941178,,,,,0
Dodge,Grand Caravan,2010,Minivan - 2WD,Minivan,3.8,6.0,0.6333333333333333,Regular,regular,3,16,23,18,1.4375,,,,,0
Honda,Odyssey,2010,Minivan - 2WD,Minivan,3.5,6.0,0.5833333333333334,Regular,regular,3,16,23,18,1.4375,,,,,0
Honda,Odyssey,2010,Minivan - 2WD,Minivan,3.5,6.0,0.5833333333333334,Regular,regular,3,17,25,20,1.4705882352941178,,,,,0
Volkswagen,Routan,2010,Minivan - 2WD,Minivan,4.0,6.0,0.6666666666666666,Regular,regular,3,17,25,20,1.4705882352941178,,,,,0
Volkswagen,Routan,2010,Minivan - 2WD,Minivan,3.8,6.0,0.6333333333333333,Regular,regular,3,16,23,18,1.4375,,,,,0
Cadillac,SRX 2WD,2010,Sport Utility Vehicle - 2WD,Other,3.0,6.0,0.5,Regular,regular,3,18,25,21,1.3888888888888888,,,,,0
Chevrolet,Equinox FWD,2010,Sport Utility Vehicle - 2WD,Other,3.0,6.0,0.5,Regular,regular,3,17,25,20,1.4705882352941178,,,,,0
